account_id,account_name,service,period1_cost,period2_cost,difference,pct_change
308464974054,ilaas-int,Amazon QuickSight,162.58,0.0,-162.58,-100.0%
308464974054,ilaas-int,Amazon Elastic Container Service,0.0,162.52,162.52,NEW
308464974054,ilaas-int,Amazon Virtual Private Cloud,28.8,97.47,68.67,+238.4%
308464974054,ilaas-int,Amazon Relational Database Service,16.06,81.75,65.69,+409.1%
308464974054,ilaas-int,Amazon DynamoDB,81.43,131.6,50.17,+61.6%
308464974054,ilaas-int,Amazon Elastic Load Balancing,0.0,47.33,47.33,NEW
308464974054,ilaas-int,AmazonCloudWatch,410.53,440.98,30.45,+7.4%
308464974054,ilaas-int,AWS Backup,0.39,27.69,27.3,+6934.1%
308464974054,ilaas-int,Amazon Timestream,120.68,96.75,-23.93,-19.8%
308464974054,ilaas-int,AWS Lambda,86.85,75.82,-11.04,-12.7%
308464974054,ilaas-int,Amazon API Gateway,9.95,1.15,-8.8,-88.4%
308464974054,ilaas-int,Amazon Simple Queue Service,9.81,16.26,6.45,+65.8%
308464974054,ilaas-int,Amazon Simple Storage Service,0.19,6.04,5.85,+3080.3%
308464974054,ilaas-int,AWS Secrets Manager,2.31,6.19,3.87,+167.3%
308464974054,ilaas-int,Amazon ElastiCache,90.05,87.07,-2.98,-3.3%
308464974054,ilaas-int,Amazon Simple Notification Service,2.42,4.91,2.49,+102.8%
308464974054,ilaas-int,Amazon Kinesis Analytics,409.61,407.96,-1.65,-0.4%
308464974054,ilaas-int,AWS X-Ray,1.63,0.0,-1.63,-100.0%
308464974054,ilaas-int,AWS Config,21.33,22.36,1.03,+4.8%
308464974054,ilaas-int,EC2 - Other,34.2,33.26,-0.94,-2.7%
308464974054,ilaas-int,Amazon Route 53,0.52,1.01,0.49,+95.3%
308464974054,ilaas-int,Amazon Kinesis Firehose,0.37,0.54,0.16,+43.8%
308464974054,ilaas-int,Amazon Elastic File System,0.0,0.04,0.04,NEW
308464974054,ilaas-int,Amazon Elastic Compute Cloud - Compute,7.73,7.71,-0.02,-0.3%
308464974054,ilaas-int,AWS Payment Cryptography,0.0,0.01,0.01,NEW
308464974054,ilaas-int,TOTAL,1712.08,2292.47,580.39,+33.9%
454096720892,grafana-prod,Amazon Elastic Container Service for Kubernetes,0.0,117.6,117.6,NEW
454096720892,grafana-prod,Amazon Elastic Compute Cloud - Compute,0.0,115.81,115.81,NEW
454096720892,grafana-prod,EC2 - Other,0.0,37.91,37.91,NEW
454096720892,grafana-prod,AmazonCloudWatch,0.0,10.29,10.29,NEW
454096720892,grafana-prod,Amazon Virtual Private Cloud,0.0,3.48,3.48,NEW
454096720892,grafana-prod,AWS Key Management Service,0.0,0.98,0.98,NEW
454096720892,grafana-prod,AWS Systems Manager,0.0,0.05,0.05,NEW
454096720892,grafana-prod,TOTAL,0.0,286.12,286.12,+0.0%
478621777251,ilaas-dev,Amazon OpenSearch Service,0.0,1023.56,1023.56,NEW
478621777251,ilaas-dev,Amazon Simple Storage Service,4.09,560.2,556.11,+13595.3%
478621777251,ilaas-dev,Amazon Kinesis,455.14,969.07,513.92,+112.9%
478621777251,ilaas-dev,Amazon Elastic Container Service,129.21,491.11,361.9,+280.1%
478621777251,ilaas-dev,Amazon QuickSight,261.0,0.0,-261.0,-100.0%
478621777251,ilaas-dev,AWS Support (Business),348.85,586.35,237.5,+68.1%
478621777251,ilaas-dev,Amazon Elastic Compute Cloud - Compute,127.44,344.0,216.56,+169.9%
478621777251,ilaas-dev,AmazonCloudWatch,591.9,472.46,-119.44,-20.2%
478621777251,ilaas-dev,Amazon Virtual Private Cloud,43.21,160.84,117.64,+272.3%
478621777251,ilaas-dev,AWS Backup,137.81,45.27,-92.54,-67.2%
478621777251,ilaas-dev,Amazon Elastic Load Balancing,16.22,94.95,78.74,+485.6%
478621777251,ilaas-dev,Amazon DynamoDB,308.18,229.68,-78.5,-25.5%
478621777251,ilaas-dev,Amazon Relational Database Service,16.12,81.75,65.63,+407.1%
478621777251,ilaas-dev,Amazon Timestream,327.13,266.8,-60.33,-18.4%
478621777251,ilaas-dev,AWS App Runner,0.0,40.98,40.98,NEW
478621777251,ilaas-dev,AWS Lambda,145.71,113.87,-31.84,-21.9%
478621777251,ilaas-dev,Amazon API Gateway,29.77,4.25,-25.53,-85.7%
478621777251,ilaas-dev,Amazon Kinesis Analytics,404.83,428.34,23.51,+5.8%
478621777251,ilaas-dev,AWS Config,133.54,156.3,22.76,+17.0%
478621777251,ilaas-dev,EC2 - Other,103.43,89.75,-13.68,-13.2%
478621777251,ilaas-dev,AWS CloudTrail,5.34,18.23,12.89,+241.6%
